t	Vm run 00	Vm run 01
104.95	-62.6641356512	-44.20592968
104.975	-62.6751715419	-44.7476084
105.0	-62.6853069518	-45.271368863
105.025	-62.6946052134	-45.7775181
105.05	-62.7031117755	-46.26635405
105.075	-62.7108774374	-46.7381749
105.1	-62.717968983	-47.1932920735
105.125	-62.7244712969	-47.6320430
105.15	-62.7304845609	-48.05480362
105.175	-62.7361191861	-48.4619972
105.2	-62.7414902323	-48.854100561
105.225	-62.7467123393	-49.2316445
105.25	-62.7518956519	-49.59521229
105.275	-62.7571428732	-49.9454320
105.3	-62.762547373	-50.282919045	
105.325	-62.768192188	-50.60826877
105.35	-62.7741497136	-50.92207912
105.375	-62.7804819026	-51.2249661
105.4	-62.7872408068	-51.517564734
105.425	-62.7944693406	-51.8005188
105.45	-62.802202173	-52.074467036
105.475	-62.8104666709	-52.3400289
105.5	-62.8192838321	-52.597768743
105.525	-62.8286691655	-52.8481895
105.55	-62.8386334934	-53.09174674
105.575	-62.8489788282	-53.3288588
105.6	-62.8594283373	-53.559911636
105.625	-62.8697701645	-53.7852574
105.65	-62.8799061307	-54.00521269
105.675	-62.8898371997	-54.2200556
105.7	-62.8996288832	-54.430026518
105.725	-62.9093790008	-54.6353281
105.75	-62.9191945188	-54.83612816
105.775	-62.9291772256	-55.0325622
105.8	-62.9390063298	-55.224737080
105.825	-62.9483717475	-55.4127343
105.85	-62.9571504052	-55.59661393
105.875	-62.9653811776	-55.7764177
105.9	-62.9731943476	-55.952172915
105.925	-62.9807545172	-56.1238946
105.95	-62.9882254913	-56.29158919
105.975	-62.9957519826	-56.4552332
106.0	-63.0034520018	-56.614769675
106.025	-63.0114154759	-56.7701235
106.05	-63.0197062449	-56.92122141
106.075	-63.0283656811	-57.0680049
106.1	-63.0374168771	-57.210436289
106.125	-63.0468687831	-57.3484986
106.15	-63.0567199566	-57.48219430
106.175	-63.0669617679	-57.6115414
106.2	-63.0775810153	-57.736571425
106.225	-63.0885619718	-57.8573261
106.25	-63.0998879239	-57.97385656
106.275	-63.1115422773	-58.0862210
106.3	-63.1235093081	-58.194484064
106.325	-63.1357746349	-58.2987150
106.35	-63.1483254773	-58.39898735
106.375	-63.1611507565	-58.4953779
106.4	-63.174241085	-58.5879664904
106.425	-63.1875886807	-58.6768283
106.45	-63.2011872334	-58.76203128
106.475	-63.2148641958	-58.8436391
106.5	-63.2267642667	-58.921716596
106.525	-63.2359445884	-58.9963326
106.55	-63.2423050597	-59.06756278
106.575	-63.2461800216	-59.1354890
106.6	-63.2480645088	-59.200198976
106.625	-63.2484732192	-59.2617842
106.65	-63.2478774699	-59.32033825
106.675	-63.2433785835	-59.3759543
106.7	-63.2346774067	-59.428723868
106.725	-63.2226299401	-59.4787359
106.75	-63.2083280788	-59.52646090
106.775	-63.1927570527	-59.5718106
106.8	-63.1767066381	-59.614806382
106.825	-63.1607734451	-59.6554952
106.85	-63.1453902628	-59.69393478
106.875	-63.1308595436	-59.7301881
106.9	-63.117383557	-59.7643217245
106.925	-63.1051500137	-59.7964038
106.95	-63.0942613593	-59.82651070
106.975	-63.0847572932	-59.8547210
107.0	-63.0766387426	-59.881112698
107.025	-63.069883253	-59.90576137
107.05	-63.0644545198	-59.92874006
107.075	-63.0603084143	-59.9501192
107.1	-63.0573968479	-59.969966882
107.125	-63.0556702574	-59.9883487
107.15	-63.055079198	-60.005327905
107.175	-63.0555751811	-60.0209653
107.2	-63.0571108745	-60.035319309
107.225	-63.0596644079	-60.0484458
107.25	-63.0633651257	-60.06039875
107.275	-63.0681893084	-60.0712293
107.3	-63.07408105	-60.0809872579	
107.325	-63.0809800461	-60.0897198
107.35	-63.0888261058	-60.09747305
107.375	-63.0975590265	-60.1042909
107.4	-63.107118119	-60.1102163537
107.425	-63.1174424604	-60.1152905
107.45	-63.1284718828	-60.11955250
107.475	-63.1401483336	-60.1230376
107.5	-63.1524172248	-60.125776639
107.525	-63.1652285156	-60.1277951
107.55	-63.1785374144	-60.12911527
107.575	-63.1923046937	-60.1297560
107.6	-63.2064966822	-60.129734858
107.625	-63.2210850135	-60.1290671
107.65	-63.2360462047	-60.12776682
107.675	-63.2513611294	-60.1258465
107.7	-63.2670144413	-60.123317659
107.725	-63.282993543	-60.12019108
107.75	-63.2992870622	-60.11647777
107.775	-63.3158832789	-60.1121894
107.8	-63.3327693966	-60.107339080
107.825	-63.3499312423	-60.1019414
107.85	-63.3673532882	-60.09601306
107.875	-63.3850190154	-60.0895726
107.9	-63.4029115178	-60.075694309
107.925	-63.4209173667	-60.0555801
107.95	-63.4388353838	-60.03118279
107.975	-63.4564461905	-60.0039643
108.0	-63.4735597239	-59.974919092
108.025	-63.4900326246	-59.9447104
108.05	-63.5057708471	-59.91377949
108.075	-63.520727004	-59.88241938
108.1	-63.5348952525	-59.850826638
108.125	-63.5483043678	-59.8191350
108.15	-63.5610096705	-59.78743844
108.175	-63.5730847467	-59.7558049
108.2	-63.5846138328	-59.724680549
108.225	-63.5956854395	-59.6939404
108.25	-63.6063874516	-59.66355902
108.275	-63.6168036737	-59.6335315
108.3	-63.6270116359	-59.603859975
108.325	-63.6370814068	-59.5745487
108.35	-63.6470751565	-59.54560351
108.375	-63.6570472393	-59.5170306
108.4	-63.6670446126	-59.488836690
108.425	-63.677097204	-59.46102778
108.45	-63.6872124518	-59.43271299
108.475	-63.6973780354	-59.4032273
108.5	-63.707569192	-59.3723798565
108.525	-63.7177565216	-59.3403092
108.55	-63.7279120693	-59.30729052
108.575	-63.7380131156	-59.2736122
108.6	-63.7480439545	-59.239522657
108.625	-63.7579962237	-59.2052163
108.65	-63.7678683389	-59.17083934
108.675	-63.7776644598	-59.1365001
108.7	-63.7873932786	-59.102280925
108.725	-63.7970668068	-59.0682457
108.75	-63.8066992594	-59.03444654
108.775	-63.8163060899	-59.0009265
108.8	-63.8259031532	-58.967722772
108.825	-63.835505942	-58.93484731
108.85	-63.8451288756	-58.90227592
108.875	-63.8547846768	-58.8699363
108.9	-63.8644839024	-58.821377995
108.925	-63.8738564604	-58.7607285
108.95	-63.8824480085	-58.69222259
108.975	-63.8899545727	-58.6188411
109.0	-63.8960605659	-58.542596354
109.025	-63.9004734017	-58.4648462
109.05	-63.9030063552	-58.38651245
109.075	-63.9036040454	-58.3082225
109.1	-63.9023205701	-58.230403320
109.125	-63.8992822448	-58.1533431
109.15	-63.8946538061	-58.07723425
109.175	-63.8860846996	-58.0022008
109.2	-63.87306064	-57.9283186339	
109.225	-63.8561539121	-57.8555711
109.25	-63.8362456279	-57.78389163
109.275	-63.8141829511	-57.7132052
109.3	-63.7897936024	-57.643448358
109.325	-63.7630091199	-57.5745711
109.35	-63.7340202642	-57.50653366
109.375	-63.7031838629	-57.4393012
109.4	-63.6709238327	-57.372841875
109.425	-63.6376647252	-57.3071243
109.45	-63.6037948694	-57.24211843
109.475	-63.5696501494	-57.1777950
109.5	-63.5353241766	-57.114126529
109.525	-63.5008106031	-57.0510869
109.55	-63.4661229681	-56.98865223
109.575	-63.4313306746	-56.9268001
109.6	-63.3965494428	-56.865510029
109.625	-63.3619194504	-56.8047624
109.65	-63.3275859798	-56.74453869
109.675	-63.293686452	-56.68503897
109.7	-63.2603433226	-56.626254027
109.725	-63.227661179	-56.56813803
109.75	-63.1957264636	-56.51064610
109.775	-63.1646072794	-56.4537385
109.8	-63.1343531213	-56.397380419
109.825	-63.1049956363	-56.3415398
109.85	-63.0643534552	-56.28618798
109.875	-63.0181925215	-56.2312978
109.9	-62.9698116022	-56.176844511
109.925	-62.9210442249	-56.1228045
109.95	-62.8729605744	-56.06915585
109.975	-62.8261901233	-56.0158778
110.0	-62.7810920448	-55.962950788
110.025	-62.7378556003	-55.9103454
110.05	-62.696562757	-55.851382464
110.075	-62.6572283416	-55.7867560
110.1	-62.6198261012	-55.718294595
110.125	-62.5843056702	-55.6475094
110.15	-62.5506035744	-55.57545976
110.175	-62.5186502988	-55.5028488
110.2	-62.4883747462	-55.430127974
110.225	-62.459706971	-55.35757566
110.25	-62.4325797752	-55.28535297
110.275	-62.4069295621	-55.2135417
110.3	-62.3826967125	-55.142170983
110.325	-62.3598256598	-55.0712347
110.35	-62.3382647823	-55.00070483
110.375	-62.3179661915	-54.9305387
110.4	-62.2988854659	-54.860685738
110.425	-62.2809813641	-54.7910904
110.45	-62.2642155372	-54.72169513
110.475	-62.2483527984	-54.6524415
110.5	-62.2325541352	-54.583271582
110.525	-62.2160926166	-54.5141276
110.55	-62.1985833388	-54.44495284
110.575	-62.1799414024	-54.3756912
110.6	-62.1602765795	-54.306287184
110.625	-62.1398012999	-54.2366854
110.65	-62.1187675173	-54.16683059
110.675	-62.097429401	-54.09666704
110.7	-62.0760232902	-54.026138434
110.725	-62.054758266	-53.95518612
110.75	-62.0338130214	-53.88374681
110.775	-62.0133363021	-53.8117508
110.8	-61.9934492163	-53.739122185
110.825	-61.9742483779	-53.6657793
110.85	-61.9558073316	-53.59163731
110.875	-61.9381772397	-53.5166087
110.9	-61.9213888857	-53.440605546
110.925	-61.9054564314	-53.3635387
110.95	-61.8903820148	-53.28531898
110.975	-61.8761600981	-53.2058554
111.0	-61.8627809253	-53.125055332
111.025	-61.8502329257	-53.0428226
111.05	-61.8385041902	-52.95905714
111.075	-61.8275832555	-52.8736530
111.1	-61.8174594036	-52.786498124
111.125	-61.8081226222	-52.6974719
111.15	-61.7995634515	-52.60644533
111.175	-61.7877536834	-52.5132784
111.2	-61.7719061624	-52.417819889
111.225	-61.7527762562	-52.3199049
111.25	-61.7314531336	-52.21935393
111.275	-61.708931135	-52.11597068
111.3	-61.6860055296	-52.009540085
111.325	-61.6632742318	-51.8998258
111.35	-61.6411679752	-51.78656781
111.375	-61.6199841611	-51.6694786
111.4	-61.5999172352	-51.548239987
111.425	-61.5810840459	-51.4224984
111.45	-61.5635443131	-51.29185994
111.475	-61.5473167904	-51.1558837
111.5	-61.5323917803	-51.014075205
111.525	-61.5187406445	-50.8658764
111.55	-61.5063228873	-50.71065625
111.575	-61.4947069167	-50.5476963
111.6	-61.4835050201	-50.37617606	
111.625	-61.4724972803	-50.1951519
111.65	-61.4616016136	-50.00335221
111.675	-61.4508192471	-49.7992700
111.7	-61.4401935166	-49.581211374
111.725	-61.4297849873	-49.3472585
111.75	-61.419658053	-49.095197155
111.775	-61.4098743384	-48.8224205
111.8	-61.4004898017	-48.525804308
111.825	-61.3915537363	-48.2015388
111.85	-61.3831086975	-47.84490090
111.875	-61.3751908447	-47.4499440
111.9	-61.3678336449	-47.009069352
111.925	-61.3610673347	-46.5124582
111.95	-61.3549174114	-45.94702249
111.975	-61.349404053	-45.29501579
112.0	-61.3445423535	-44.531964638
